Id,Label,kind,primaryType,types,url,dateAdded,dateRemoved,members,tradeable,equipable,indegree,outdegree,weightedIndegree,weightedOutdegree,pageLinkIndegree,pageLinkOutdegree,pageRank,pageLinkPageRank
"page:adamant kiteshield","Adamant kiteshield","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_kiteshield","2001-01-04",,"false","true","true",11,20,17,14.5,11,0,0.0001490516164371777,0.0002499962284232589
"category:shield slot items","Shield slot items","category",,,,,,,,,28,0,14,0,0,0,0.00017270854082314195,0.00007764845047308417
"category:kiteshields","Kiteshields","category",,,,,,,,,16,0,8,0,0,0,0.00011841737138718988,0.00007764845047308417
"category:armour","Armour","category",,,,,,,,,20,0,10,0,0,0,0.00013999713582323395,0.00007764845047308417
"slot:shield","shield","slot",,,,,,,,,28,0,56,0,0,0,0.00042430962172735807,0.00007764845047308417
"page:adamant kiteshield (g)","Adamant kiteshield (g)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_kiteshield_(g)","2004-05-05",,"false","true","true",0,20,0,18.5,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant kiteshield (t)","Adamant kiteshield (t)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_kiteshield_(t)","2004-05-05",,"false","true","true",0,20,0,18.5,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant knife","Adamant knife","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_knife","2003-04-14",,"true","true","true",3,23,6,17,3,0,0.0001321263953726682,0.0002425286932354816
"category:throwing knives","Throwing knives","category",,,,,,,,,6,0,3,0,0,0,0.00010016411862929874,0.00007764845047308417
"page:adamant longsword","Adamant longsword","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_longsword","2001-01-04",,"false","true","true",6,21,15,16,6,0,0.00013051257469578984,0.00014889554213516563
"combat_style:slash sword","Slash Sword","combat_style",,,,,,,,,21,0,31.5,0,0,0,0.00018660151714337378,0.00007764845047308417
"page:adamant mace","Adamant mace","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_mace","2001-01-04",,"false","true","true",5,21,8,16,5,0,0.00016893146222671132,0.0007679293983727519
"category:crush weapons","Crush weapons","category",,,,,,,,,15,0,7.5,0,0,0,0.00011481916913522517,0.00007764845047308417
"combat_style:spiked","Spiked","combat_style",,,,,,,,,8,0,12,0,0,0,0.00013196951389651612,0.00007764845047308417
"page:adamant med helm","Adamant med helm","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_med_helm","2001-01-04",,"false","true","true",12,21,12,18.5,12,1,0.00029097313204410713,0.003318113076980417
"page:adamant pick head","Adamant pick head","page","item","item","https://oldschool.runescape.wiki/w/Adamant_pick_head","2004-03-29","2014-09-11","false","true","false",0,13,0,8.5,0,1,0.00008884151385506988,0.00007764845047308417
"category:discontinued content","Discontinued content","category",,,,,,,,,48,0,24,0,0,0,0.0002564031170523267,0.00007764845047308417
"category:pickaxes","Pickaxes","category",,,,,,,,,19,0,9.5,0,0,0,0.0001450397697394256,0.00007764845047308417
"page:adamant pickaxe","Adamant pickaxe","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_pickaxe","2003-05-27",,"false","true","true",9,18,19,14.5,9,0,0.00020800007759990362,0.0002544727143920064
"combat_style:pickaxe","Pickaxe","combat_style",,,,,,,,,6,0,9,0,0,0,0.0001603175413833155,0.00007764845047308417
"page:adamant platebody","Adamant platebody","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_platebody","2001-01-04",,"false","true","true",19,23,31,20,19,2,0.00023433344166463968,0.0009121544666277357
"category:platebodies","Platebodies","category",,,,,,,,,18,0,9,0,0,0,0.0001237611587096772,0.00007764845047308417
"page:adamant platebody (g)","Adamant platebody (g)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_platebody_(g)","2004-05-05",,"false","true","true",0,21,0,19,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant platebody (t)","Adamant platebody (t)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_platebody_(t)","2004-05-05",,"false","true","true",0,21,0,19,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant platelegs","Adamant platelegs","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_platelegs","2001-01-04",,"false","true","true",16,23,28,17,16,2,0.00022200715643282972,0.0008888091094298407
"category:legs slot items","Legs slot items","category",,,,,,,,,51,0,25.5,0,0,0,0.0001931536183701108,0.00007764845047308417
"category:platelegs","Platelegs","category",,,,,,,,,16,0,8,0,0,0,0.00011865055596379343,0.00007764845047308417
"slot:legs","legs","slot",,,,,,,,,51,0,102,0,0,0,0.0005060899319152338,0.00007764845047308417
"page:adamant platelegs (g)","Adamant platelegs (g)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_platelegs_(g)","2004-05-05",,"false","true","true",0,21,0,19,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant platelegs (t)","Adamant platelegs (t)","page","item","item","https://oldschool.runescape.wiki/w/Adamant_platelegs_(t)","2004-05-05",,"false","true","true",0,21,0,19,0,2,0.00008884151385506988,0.00007764845047308417
"page:adamant plateskirt","Adamant plateskirt","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_plateskirt","2001-02-13",,"false","true","true",5,23,8,20.5,5,3,0.00014423292348817373,0.0009011924658004762
"category:plateskirts","Plateskirts","category",,,,,,,,,7,0,3.5,0,0,0,0.00009854507370811124,0.00007764845047308417
"page:adamant scimitar","Adamant scimitar","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_scimitar","2001-01-04",,"false","true","true",1,21,1,16,1,0,0.0001225233641274063,0.0007026562475857014
"page:adamant spear","Adamant spear","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_spear","2003-04-14",,"true","true","true",4,25,4,18,4,0,0.00013213195950368978,0.0007149102909404804
"combat_style:spear","Spear","combat_style",,,,,,,,,7,0,10.5,0,0,0,0.00013138837624023284,0.00007764845047308417
"page:adamant sq shield","Adamant sq shield","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_sq_shield","2001-01-04",,"false","true","true",5,20,5,14.5,5,0,0.00019997441971825614,0.0005163167776143097
"category:square shields","Square shields","category",,,,,,,,,9,0,4.5,0,0,0,0.0001366197307416779,0.00007764845047308417
"page:adamant sword","Adamant sword","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_sword","2001-01-04",,"false","true","true",5,23,5,17.5,5,1,0.00016470554341677421,0.0008227149944640321
"page:adamant thrownaxe","Adamant thrownaxe","page","item","item","https://oldschool.runescape.wiki/w/Adamant_thrownaxe","2004-03-29",,"true","true","true",2,15,2,13,2,0,0.00010623459852090765,0.00010085312838548717
"page:adamant warhammer","adamant warhammer","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamant_warhammer","2004-03-29",,"false","true","true",3,22,6,16.5,3,0,0.00013286687390553977,0.00020645667578036308
"combat_style:blunt","Blunt","combat_style",,,,,,,,,17,0,25.5,0,0,0,0.00018762607779165298,0.00007764845047308417
"page:adamantite bar","Adamantite bar","page","item","item|monster","https://oldschool.runescape.wiki/w/Adamantite_bar","2001-01-04",,"false","true","false",9,22,12,16.5,9,8,0.0006538241523254048,0.00588242616875678
"category:magic","Magic","category",,,,,,,,,67,0,33.5,0,0,0,0.0005869887465369873,0.00007764845047308417
